,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2016.01.22,0:00,1.08566,1.08625,1.07887,1.07959,0,,,,,,,
2016.01.24,0:00,1.07933,1.08004,1.07864,1.07962,0,,,,,,,
2016.01.25,0:00,1.0796,1.08564,1.07893,1.0852,0,,,,,,,
2016.01.26,0:00,1.0852,1.08739,1.08182,1.08613,0,,,,,,,
2016.01.27,0:00,1.08622,1.09158,1.08502,1.09017,0,,,,,,,
2016.01.28,0:00,1.09024,1.09673,1.08691,1.09349,0,,,,,,,
2016.01.29,0:00,1.09347,1.09479,1.08094,1.08296,0,,,,,,,
2016.01.31,0:00,1.0831,1.08341,1.08144,1.08249,0,,,,,,,
2016.02.01,0:00,1.08256,1.09123,1.08256,1.08955,0,,,,,,,
2016.02.02,0:00,1.08954,1.09395,1.08918,1.0918,0,,,,,,,
2016.02.03,0:00,1.09188,1.11452,1.09032,1.10924,0,,,,,,,
2016.02.04,0:00,1.10905,1.12385,1.10689,1.1199,0,,,,,,,
2016.02.05,0:00,1.11992,1.12442,1.11082,1.11565,0,,,,,,,
2016.02.07,0:00,1.1143,1.11482,1.11405,1.11432,0,,,,,,,
2016.02.08,0:00,1.11433,1.12152,1.10859,1.11888,0,,,,,,,
2016.02.09,0:00,1.11877,1.13373,1.11618,1.12877,0,,,,,,,
2016.02.10,0:00,1.12876,1.1311,1.11599,1.12835,0,,,,,,,
2016.02.11,0:00,1.12827,1.13757,1.12735,1.13155,0,,,,,,,
2016.02.12,0:00,1.13157,1.1333,1.12134,1.12531,0,,,,,,,
2016.02.14,0:00,1.12365,1.12497,1.1215,1.12231,0,,,,,,,
2016.02.15,0:00,1.12199,1.12385,1.11276,1.11759,0,,,,,,,
2016.02.16,0:00,1.11758,1.11923,1.11236,1.11426,0,,,,,,,
2016.02.17,0:00,1.11412,1.11785,1.11055,1.112,0,,,,,,,
2016.02.18,0:00,1.11203,1.11492,1.10704,1.11071,0,,,,,,,
2016.02.19,0:00,1.11067,1.11388,1.1066,1.11284,0,,,,,,,
2016.02.21,0:00,1.1122,1.11241,1.11079,1.11219,0,,,,,,,
2016.02.22,0:00,1.11211,1.11232,1.10024,1.10247,0,,,,,,,
2016.02.23,0:00,1.10248,1.10521,1.09896,1.10229,0,,,,,,,
